Date,From,Subject,Category,Action,SizeMB,Unsubscribe
2025-07-23T10:16:00-07:00,"""Surya on Facebook"" <close_friend_updates@facebookmail.com>",Surya Krishna added a new video,newsletter,archive,0.02,<https://www.facebook.com/email/oneclick/unsubscribe?identifier=AeKJixW-UIIdPLedkiXPDGKUvL75kV3B6QoEDc-wKsAuelXs6l7IQI75g9ML4IrEeBjqwklMEniPp9VmUlAmjvMqFJfLNc3n2002lhB9b7lOvWomqCsLOOpRpAmhC0Tp97o7WC72WGybNuss1K_uFOYpQ9sXLunkNbZnB92Vh3n39maQyZKPY_FI8ch7KOxvC2CCWXqf0PpuZVHqy39Bla_MF69LZUoHA_UtDxf02d3bAsqD0iXBGSqhOOgDUT7k0crU19aBqNyIzSx3G1APdaP3548tu4P-B0FgxN50kIKZhWBupiyXUNBUQitr_wJr9T7CpaQ_uewA1GMEMgT5qaQHiGAvZiB_xhas>
2025-07-23T13:11:29-07:00,"""The Educative Team"" <support@educative.io>",4 AI Agents courses have been added to the catalog,other,keep,0.03,
2025-07-23T15:11:22-07:00,"""Kaggle"" <noreply@kaggle.com>",Competition Launch: Jigsaw - Agile Community Rules Classification,newsletter,archive,0.03,<https://c.gle/ANiao5qi6HB0BUzKEQletiLaCI1_IhUjLnSP_9ZFup2QMdiN3JqhjLcE6HFUyGu8iyxpIpnyQPmmj9JxYnzJkN6pe-xgscUluz-6ZCK7RBWACZ2Ptcmum1iJznyxAhyVJJ-opFSAN7o28J9QkAz8MJfVNFIrKJu-TTG8XZszy_HZspWPRGYDRobKXxfr8-ZtNa3zGlciuOqxPzxiZepc7-Gq>
2025-07-23T20:31:47-07:00,"""CNCF Events"" <no-reply@cncf.io>",⏳ Tickets Selling Fast: Build Your KubeCon + CloudNativeCon Agenda!,newsletter,archive,0.09,"<mailto:1axcs7fxrezgmgevan5oi7jlbfkomr2q80ambe@8112310m.linuxfoundation.org?subject=unsubscribe>, <https://hs-8112310.s.hubspotemail.net/subscription-preferences/v2/unsubscribe-all?data=W2nXS-N30h-zDW2KQtWN30twyhW2-dR4G3XTZxDW2RvByF3gpGNgW3gvfl41S9P4cW3VBlRj3GSt4VW3XR5PP38dfvwW3jwDJ72w2NMyW3gxlNq253kXFW4hKLmw3F6HtLW1Z8llc3P5X9mW1BnKsS3_XXsqW1SsL7F4fGCWSW3M9rPl1SbcPtW2vCZK51V1H3tW4fGCcd2r89PpW2vYr0K47MnD3W22V6Yf3_vz7_W3ZDT4k2525L7W1SsN9k1LGgYhW216d-L236QCLW36tnSz3XwnqNW4hKfX11BKgV-W1_7fll2t6Lr_W3NMfqQ3gs8s8W3M2lp-45HqYCW3b1Dvc3dc0zYW2Wp-p31Zq4mMW2FLJhd3DMgrTW38nFzp2Yny6lW1Xcsjt4kD6hgW2t01cJ43yWFtW2HGf-m1NhZZYW47vyBx3j85RvW30jP6b1SzyCxW23pT262Pty6xW2FRc0S2MmxR8W2xtNXp1BlHtzW23qfWv2CN91tW34HN752qG6SRW45pP9y2MyXK_W218mb-36FV19W2zKTbJ4msvc8W1Zw5cp49z90bW3K53Kw3ZxXyCW25n0XJ4p9PbDW3Xwp_S41RJLfW3bgBQ53JDg66W3dkDgJ2vJcKYW3F8m4J1Xj0LfW2zYvr241rw-VW3dtxDm3GYrRMf23ncKy04>"
2025-07-24T15:33:21+05:30,"""redBus"" <greetings@travel.e-redbus.in>",Important message for Independence Day! 📣,newsletter,archive,0.02,"<https://unsub-cee.netcorecloud.net/vtrack?ul=VwpVB1wFBlVPBkVGRF8DUhYSDEJCBABLWF4GVHlUDFlZWBhQWVxJSUwF&ml=UA1RCFEHA1NPB0VK&sl=JkUpczBLZjFPZHRiSlUJXgsKTURGABNcVUhVSUtWBVpFRxhaWE0F&clientid=69014&c=000>, <mailto:uns-traveleredbus-69014-44784001-33379257-i-0d1349adf18e6ef3e5f7622ad5e76335@travel.e-redbus.in?subject=Unsubscribe>"
2025-07-24T14:32:28+00:00,"""Clint Gibler"" <clint@tldrsec.com>","[tl;dr sec] #289 - AI-powered Fuzzing, Incentives in Security, Malware in DNS",newsletter,archive,0.12,"<mailto:080a561f-2435-4477-a549-ab9f115e047c+c9d50fb8-cf39-4df4-887c-651cc604084a+4d74fe3b-4520-45c6-b63f-e51200eaea1f@unsub.beehiiv.com>, <https://tldrsec.com/unsubscribe/eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWJzY3JpYmVyX2lkIjoiYzlkNTBmYjgtY2YzOS00ZGY0LTg4N2MtNjUxY2M2MDQwODRhIiwicG9zdF9pZCI6IjRkNzRmZTNiLTQ1MjAtNDVjNi1iNjNmLWU1MTIwMGVhZWExZiIsImxhc3RfcmVzb3VyY2VfZ3VpZCI6IlBvc3Q6NGQ3NGZlM2ItNDUyMC00NWM2LWI2M2YtZTUxMjAwZWFlYTFmIn0.WWv9Ml1xEKZH_5oTH4Jo-a67GCc5MNwFG9kf1vFhtsc>"
2025-07-24T23:13:43-07:00,"""Fahim at Educative"" <fahim.u@educative.io>",✅ Introducing: Mockinterviews.dev,newsletter,archive,0.03,"<mailto:1axdl9bxjdj3p3c5mr98kces6evxd9tub1qsfu@4740448m.educative.io?subject=unsubscribe>, <https://learn.educative.io/hs/subscription-preferences/v2/unsubscribe-all?data=W2nXS-N30h-GhW3K6KRz1BsvXNW1XvsVr2vJ_ZxW4kr1h63NSG8gW4mnmhC45XcwcW2HJn022PKpKbW2KQRmt2xL471W4cH-M73d9ldtW4p9Lnr3T4-wlW1S4hZP38wdMgW1Vw3n81Z6Cq9W4hFws53DL4s2W3Xv_Jf1Q6cLcW2zXbyt2MT9gSW47Mj_S2r87qzW2nNYrS1XtDdDW4cwpXL2v-_FXW1Z5R5G1BHb3PW3NGH1_3zk6cDW2-wszl3zbs5sW2575z_2qSVNBW1NnBj61QvfwDW1QfFC149NkqzW2Kqb123V-xpsW3jl6K33XYL16W49j2gt4pB1QHW1VcDxg2r3BYpW3VNp_r3P2Yr0W38hzXw3VPcgkW2qDRPD2xGjM0W3P1J4f3QSw3wW1LmxTj3__bx0W3XxKl42-fLw9W23f_Rl2YM9bDW41Dwh32-nNRKW36Gq4C4pKxmqW3QSyVN2CCrXBW1VfMrW3F4BBcW235Gbr1ShZ4tW3XwRtK47wPzjW3VWVt030rWj4W32Js_z4mnPtdW3LHMBq3jshVyW2WfG2G3JKgqVW32Jstt47zkm2W1V1J7r1_l83NW1VbRl_3LP5NTW3_-S73218mRkW2CsvW81Bd1vFW2HmY0L2r5HHnW30HShl2WdWC1f3NMfBV04>"
2025-07-25T12:26:42+00:00,"""Matt Johansen"" <vulnu@vulnu.mattjay.com>",🎓️ Vulnerable U | #126,newsletter,archive,0.11,"<mailto:71c1f7f0-15e9-4f22-932a-e61c0932a9e2+c9d50fb8-cf39-4df4-887c-651cc604084a+a52b4e8b-855d-45d3-afa1-2b1f76fc0280@unsub.beehiiv.com>, <https://www.vulnu.com/unsubscribe/eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWJzY3JpYmVyX2lkIjoiYzlkNTBmYjgtY2YzOS00ZGY0LTg4N2MtNjUxY2M2MDQwODRhIiwicG9zdF9pZCI6ImE1MmI0ZThiLTg1NWQtNDVkMy1hZmExLTJiMWY3NmZjMDI4MCIsImxhc3RfcmVzb3VyY2VfZ3VpZCI6IlBvc3Q6YTUyYjRlOGItODU1ZC00NWQzLWFmYTEtMmIxZjc2ZmMwMjgwIn0.2wSFTLFHvU0BbhzCkUSrOralesADlebOEH-KJ6ponGU>"
2025-07-25T11:48:18-07:00,"""Facebook"" <notification@priority.facebookmail.com>",You have 61 notifications about Sutharsan and others,newsletter,archive,0.03,<https://www.facebook.com/o.php?k=AS3hlVObKWGKNWEYVPs&u=100043343738567&mid=63ac518f9b216G5afd27f736c7G63ac5628fb4e8G32b&ee=Af9U0Zc75fR6eqgXe2fHsxwiirD7yFy337ZFBy-weT3rOIokciUJCfVt9_Eqd5y7HdY5Mo_Xdbfcgwpcplh3BFB_Vu86>
2025-07-25T22:52:17-07:00,"""Fahim at Educative"" <fahim.u@educative.io>",Only 2% of teams are using AI agents — that's your advantage.,newsletter,archive,0.06,"<mailto:1axcqpksaccxz6lm34keu7yxgxlv8o7wnyrlg6@4740448m.educative.io?subject=unsubscribe>, <https://learn.educative.io/hs/subscription-preferences/v2/unsubscribe-all?data=W2nXS-N30h-H9W2qRGMd32Kkg4W1BMNFM2WsY3VW1XpT8K4kDs62W36xdjC3Y1dLpW3dsJwB22_PmDW3BPYCj2RCPt9W2Tggm34tkk5qW3y_cQ-3SSNFfW1Lg-Zv3gnLxYW2KDsH_3M62tpW3M6qS03NH6PRW3JSkm71Znm6lW4mFxkm30FmkGW1L8h483NW7RjW38mlx13P8pMyW3M6w2K1_sP4MW3XMLDD2zskrrW3QKWWZ3j5dKTW2zV9dZ2nYcM0W4hhR0M2B1y0yW34FMVz4mGj5mW2xB4Gz45Hm88W347KGJ1SzZnKW4rg9Nj1LnlBhW3C9nBv2PK3yMW36cD-b1_nxJQW4kDqPL2Myy-WW2vNK5w2w1YRBW4cBDhC3gxjY1W36d2D61XwgPLW3FcLfT32j_wcW3jwg612qV5C8W1Npq9c2MmTFwW3J-kR52TpT7VW4hwVlN1SBQz0W4mbNBm2C_HYxW2HznHQ3SKc7PW3ddHzj3jvPFNW1Xf5lg4rpfsRW3B_p4x2TQw5bW2MBDgV2MwV-tW43BDD43dr-PlW38cNSV3LHlchW49D43b2YKwtcW34lz2l4txxBQW2zLKt645mhldW4hv6Dr1N3X4YW1V20Tv2t3nrJW3LPc2z36DMg4W4tvQlz2HsxDSf218PyL04>"
2025-07-26T13:02:36+05:30,"""redBus"" <greetings@travel.e-redbus.in>","Buses, Trains and now Hotels too! 🙌",newsletter,archive,0.02,"<https://unsub-cee.netcorecloud.net/vtrack?ul=VwpVB1wFBlVPBkVGRF8DUhYSDEJCBABLWF4GVHlUDFlZWBhQWVxJSUwF&ml=UA1eB1cHA1NPB0VK&sl=JkUpczBLZjFPZHRiSlUJXgsKTURGABNcVUhVSUtWBVpFRxhaWE0F&clientid=69014&c=000>, <mailto:uns-traveleredbus-69014-44872001-33379257-i-0d1349adf18e6ef3e5f7622ad5e76335@travel.e-redbus.in?subject=Unsubscribe>"
2025-07-28T10:32:40-07:00,"""Kaggle"" <no-reply@kaggle.com>",Competition Launch: Mitsui & Co. Commodity Prediction,newsletter,archive,0.03,<https://c.gle/ANiao5oaZPfuOxme50_BzOla65vz9CScIRJW6cDW7al1PEs9fVpWyYQf6P9kI3X6h-xKKhSbGrlDGsTVLt_6MZ3c2v18frflk1mD0lToR27JOuLuQaK11tX2qYeK-zl2diGVkiZm1wS6BYpZvSwWuDcxXOwJxXc3SCgcSz93HzPjzbh89EZ2K01CsIf32j_pSs-r3BsOaW6KIbUULI0hDC3CcdpqhQ>
2025-07-28T20:53:46+00:00,"""Grammarly"" <hello@mail.grammarly.com>",Send the right message at work,newsletter,archive,0.08,"<https://links.iterable.com/s/u/AFJEw2Zn7jqcKdlDn95OtX0XM2iUCoXURP6oCALntgbR4R78F4RWm1mymfNoBpWwYFsiEa2nI9uChhedSlHtcaJrOibkGWLUtGhWaMnNN-OjXl6fxbyesk5jmAqvuBP9N8nJXIFIuMNkwbuRy8Xf0jQ-2TAaVrQFzkux9bPGwGzu0JLvV1IlYBurf-gDQTokJl-h4SdFPi5j3nen/WT-uRKgY27awVJpYrc-10X0oO_aXv3MY/11>,<mailto:unsubscribe+14346158+18769279@unsubscribe.iterable.com>"
2025-07-28T22:43:40+00:00,"""Daniel Miessler"" <unsupervised-learning@mail.beehiiv.com>",Unsupervised Learning NO. 491,newsletter,archive,0.16,"<mailto:6af6184f-358e-47dc-8501-ddfd3b0a8928+c9d50fb8-cf39-4df4-887c-651cc604084a+f0b53b5a-732f-44f3-8a41-21ffcfc17b4d@unsub.beehiiv.com>, <https://newsletter.danielmiessler.com/unsubscribe/eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWJzY3JpYmVyX2lkIjoiYzlkNTBmYjgtY2YzOS00ZGY0LTg4N2MtNjUxY2M2MDQwODRhIiwicG9zdF9pZCI6ImYwYjUzYjVhLTczMmYtNDRmMy04YTQxLTIxZmZjZmMxN2I0ZCIsImxhc3RfcmVzb3VyY2VfZ3VpZCI6IlBvc3Q6ZjBiNTNiNWEtNzMyZi00NGYzLThhNDEtMjFmZmNmYzE3YjRkIn0._igQLg5K_myKla-eITUWI1CUHxXaTF32oyY_Szp0foo>"
2025-07-29T00:51:54-07:00,"""Fahim at Educative"" <fahim.u@educative.io>",Your 7-step AI upskilling roadmap,newsletter,archive,0.09,"<mailto:1axdnhcd73kra4wqxrsbjisk4tn64vdgwp8z8q@4740448m.educative.io?subject=unsubscribe>, <https://learn.educative.io/hs/subscription-preferences/v2/unsubscribe-all?data=W2nXS-N30h-H0W4fhzC83btS7ZW41zv3L2H-kZFW3DVlkp2q_1q-W1BFwnj3LGwx3W348yNT2xByBcW1QCnnr3BPDjQW3C7jhK4cgW9dW4thbCZ1-Y212W1_7HKf49t-HxW4tyh7X2RPlD1W4kLJ8x2RwRFkW38gmTG1S8ZcBW1X6p1736tmZXW2Rg78v49vpvNW2t3pRH20X1T1W43WDyZ2Wj8J4W3VRGcJ2p6LdfW2PxV573C6YL6W45XkmQ3QP9F8W3z0t2y3-1XqnW3C8v0W2MSn0QW3K4cs71_mpkYW365Ttv38mlxnW2zz6Sz45GX9XW36hP5r1SBlFBW4cp_zz3Xw1FhW2KRKR31ZmZJtW4mF7kG25jJhtW3Z-dcw2v_TVfW49ylpm2-bk2-W2Ry5-73bhSkCW20T7zn1QsVMxW25jD8C30KXXGW4cL3QT47xdyfW4krsL54pCh2rW3zfJ8f2RlHPMW2z_Tr123qGMLW30sJXS3XH7DWW2RTX_G236W9PW4crgYx3zdXglW2Wg2Y24r7Ws4W1Qs5lB3yNtZpW3f-kPD4kbCRXW4kBqz61N7hJNW38lsdg2-drsNW1SxxMX32F_bqW3R2Nzb1L99gsW3_B_1Z2s-L0nW4fQ1qd1Vzp4MW3b25S81_f2BMf2547-t04>"
2025-07-29T12:30:57-07:00,"""Kaggle"" <noreply@kaggle.com>",Competition Launch: RSNA Intracranial Aneurysm Detection,newsletter,archive,0.03,<https://c.gle/ANiao5pCn7j3yR9_MRL9ylJIrtxTUOBTEknTAbi0lmceUKtUEWlKKSEL3tB9qmFRmW_dFIiyWpm5qaA6wxksDpvp28gEM-1ksrbuHImEFn45K_ZhEAL3Lx3UglgKpy6OfUtzIASRGUUp6WQvXyp1tNs17EG-r3lJPMgCmAwCzkZIL0wrktJs0HANzavyDri7zSKe30rxabqiwkzE0d3VPfJ3vw>
2025-07-29T20:57:41-07:00,"""The Linux Foundation"" <no-reply@linuxfoundation.org>",🎉 6 Days Until India’s Open Source Summit Goes Live!,newsletter,archive,0.09,"<mailto:1axdd3dqs582lznbo4inbluyj76pxkb03cy3ay@8112310m.linuxfoundation.org?subject=unsubscribe>, <https://hs-8112310.s.hubspotemail.net/subscription-preferences/v2/unsubscribe-all?data=W2nXS-N30h-MPW36CQsx3gd2LpW3P5rbM2sPNyBW4r8LnR3GRcX_W1VpbFf21bPWwW2z_2Dx47Bx7VW49B0RD1Sf-w5W1V23G-3b4-rPW2KBPfw2MjZNKW2-knrD2y1FLMW4ftZTK216Cc4W3B_PJg3gxg0-W1NFjPP3_HBhSW3GRghV3CcX-TW43xGc43gblcvW1_vmTd4rxF_WW3c_QSt2y281VW23h8Cf23qHmKW38Cdsp4r9vGsW2KCbLM3g1D_WW2q_mZ63SH_1BW1S8yDs308wwtW47LW542zPdydW1Zd6by43T4PcW3Y3qyZ3jnZhYW237db13_FXjJW2MRyf34pFjD0W2vCC6L4mvGMYW3j7JWp2PQWb6W4fhbJ53f_Bc4W3h_Nby3LFjM1W1LlkQv1QyxqcW45SXQ92-wsScW3H7ltg4cj9myW36kx1d212VZWW1Q5SQQ45FHtfW2KQvxV4hF4KFW1W_Nlc1BqS6QW2FJZ-d4ctkQpW1XxXsC2KVDP7W1Vpzyl3LP6zsW3_w0n72n__vPW23kfNZ45C--PW3bs94w3NN-dsW3gmC-Y2vC9GJW2HFy7X4fyfywW2RSPWg2r7f1SW1X2ff62B15qpW4ryV_14fqF8vW3d3tS71ZqRjzW2RRs__2WFzkHW4kB1d93P1cyJf23f8JL04>"
